C,A,N,S,L,I,M,n_pass,verdict,name,ticker,market,last,pivot
fail,fail,pass,pass,pass,pass,fail,4,fail,Veeva Systems Inc. Class A Common Stoc,VEEV,US,266.62,296.54
fail,fail,pass,pass,fail,fail,fail,2,fail,"Rush Enterprises, Inc. - Class A Commo",RUSHA,US,49.27,48.0
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE7242,7242.T,JP,4650.0,4574.57
fail,fail,pass,pass,fail,pass,fail,3,fail,"Commerce Bancshares, Inc. - Common Sto",CBSH,US,58.51,59.33
unknown,pass,fail,pass,fail,pass,fail,3,fail,金诚信,603979.SS,CN,72.3,76.72
fail,pass,fail,pass,fail,fail,fail,2,fail,"InterDigital, Inc. - Common Stock",IDCC,US,326.08,351.68
fail,fail,fail,pass,fail,fail,fail,1,fail,US Foods Holding Corp. Common Stock,USFD,US,92.01,94.89
pass,fail,pass,pass,fail,pass,fail,4,fail,Elemental Royalty Corporation - Common,ELE,US,20.87,22.91
fail,fail,fail,pass,fail,fail,fail,1,fail,"United Rentals, Inc. Common Stock",URI,US,989.13,1002.12
fail,fail,pass,pass,fail,fail,fail,2,fail,"HealthEquity, Inc. - Common Stock",HQY,US,96.51,98.44
fail,fail,pass,pass,fail,fail,fail,2,fail,"RadNet, Inc. - Common Stock",RDNT,US,77.12,78.94
unknown,fail,pass,pass,pass,pass,fail,4,fail,华新建材,600801.SS,CN,24.61,24.57
unknown,pass,fail,pass,fail,pass,fail,3,fail,Diversified Energy Company Common Stoc,DEC,US,15.01,15.91
fail,fail,pass,pass,fail,pass,fail,3,fail,Jacobs Solutions Inc. Common Stock,J,US,144.91,141.19
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE9692,9692.T,JP,2186.0,2357.35
pass,pass,pass,pass,pass,fail,fail,5,fail,"Nutanix, Inc. - Class A Common Stock",NTNX,US,67.99,68.87
unknown,fail,pass,pass,fail,fail,fail,2,fail,BHP Group Limited American Depositary ,BHP,US,84.77,81.34
